Location Name,Location Num,Operator,Type,State,Open Date
Bayou Boulevard FSU,01402,Doug Bizerra,FSU,FL,3-Jun
Bayshore Gardens FSU,05022,Nathan Anderson,FSU,FL,25-May
Baytown FSU,02031,Taylor Henckel,FSU,TX,8-Mar
Beach & Hodges FSU,02251,Jeff Wier,FSU,FL,8-Mar
Beach Boulevard FSU,04924,Blake Wohlgemuth,FSU,CA,24-Nov
Beachwood Place Mall,00016,Chyress Obregon,MALL,OH,Apr-79
Beal Parkway FSU,01447,Matthew Sexton,FSU,FL,3-Jan
Bear FSU,02071,Adam Marcus,FSU,DE,6-Sep
Bear Valley Rd. & Mariposa FSU,04628,Kyle Zimmerman,FSU,CA,21-Jul
Bearss Avenue FSU,01709,Bob Clifton,FSU,FL,5-Sep
Beaufort FSU,01476,Seth Scarpa,FSU,SC,3-Jun
Beaver Valley Mall,01065,Matt Roach,MALL,PA,Oct-99
Beavercreek FSU,02114,Rex Brooking,FSU,OH,7-Apr
Beckley Galleria FSU,01811,Kelsey Delgado,FSU,WV,6-Aug
Beechwood FSU,00846,Shane Todd,FSU,GA,Sep-92
Bees Ferry FSU,05407,Megan Jacques,FSU,SC,25-Nov
Bel Air FSU,03382,Randy Eastep,FSU,MD,19-May
Bel Air Mall,00042,Holly Johnson,MALL,AL,Nov-83
Belden Village Mall,00365,Doug Pugh,MALL,OH,Nov-87
Bella Terra FSU,03178,Cliff Parker,FSU,TX,14-Jun
Belleview Shores FSU,02605,John Barker,FSU,CO,10-Oct
Bellevue (WI) FSU,05588,Preston Waala,FSU,WI,24-Oct
Bellevue FSU,03027,Tom Deall,FSU,NE,12-Nov
Bellmead FSU,05120,David Sykora,FSU,TX,23-Jun
Belmar FSU,02952,Matt Zuschlag,FSU,CO,14-Apr
Belmont FSU,02341,Natasha Gilbert,FSU,NC,9-Oct
Belterra Village FSU,04181,Thamson Nguyen,FSU,TX,19-Jan
Beltway 8 & Hammerly Blvd. FSU,03809,Austin Rice,FSU,TX,18-Sep
Beltway 8 & Pearland Parkway FSU,04065,Jason Deyo,FSU,TX,21-Dec
Beltway 8 & Wallisville Road FSU,02418,Joseph DeCola,FSU,TX,10-Apr
Beltway 8 at West Road FSU,03110,Glenn Thigpen,FSU,TX,13-Jun
Benbrook FSU,02813,Jeremy Kirwan,FSU,TX,11-May
Benchwood FSU,02182,Kevin Weaver,FSU,OH,8-Nov
Bensalem FSU,03965,Eric Stephens,FSU,PA,18-Nov
Benton Harbor (MI) FSU,05680,Justin Barnes,FSU,MI,25-Feb
Berlin Cross Keys Road FSU,01950,Burley Clark,FSU,NJ,7-Mar
Berlin Township FSU,03656,Mike Lutz,FSU,NJ,19-Nov
Bermuda Run FSU,05030,David Moore,FSU,NC,23-Jun
Berry Farms FSU,04211,Jeanne Hammontree,FSU,TN,20-Feb
Bethany Home DTO,04013,Chris Hall,DTO,AZ,21-Jun
Big Spring [TX] FSU,05456,Katie Moyle,FSU,TX,23-Nov
Billings FSU,04733,Lee Lewis,FSU,MT,23-Jan
Bishops Corner (CT) In-Line,05852,Elijah Goldbranson,MALL,CT,25-Jun
Bixby Central FSU,05431,Greg Campbell,FSU,OK,23-Dec
Bixby North FSU,02292,Greg Campbell,FSU,OK,9-Mar
Black Lake & 192 FSU,01256,Tyler Burkhead,FSU,FL,1-Jul
Blackstone FSU,02449,Sonja Middleton,FSU,CA,8-Sep
Blaine Hwy 65 FSU,05214,Alex McLaughlin,FSU,MN,23-Nov
Blairs Ferry Rd (IA) FSU,05649,Amgad Zaghloul,FSU,IA,24-Oct
Blairsville FSU,02984,Daniel Liberatore,FSU,GA,15-Aug
Blakeney FSU,02982,Barry McAllaster,FSU,NC,13-May
Blankenbaker FSU,04679,Matt Briggs,FSU,KY,22-Aug
Bloomingdale FSU,02997,Joe Antolik,FSU,IL,15-Sep
Bloomington (MN) FSU,03153,Reid Dorsett,FSU,MN,13-Nov
Bloomington East FSU,03200,Wes Key,FSU,IN,13-Aug
Blossom Hill & Almaden Expy FSU,03924,Josh Mott,FSU,CA,19-May
Blue Ash FSU,04371,Gretchen Norton,FSU,OH,20-Oct
Blue Oaks FSU,05032,Ben Lavin,FSU,CA,24-Oct
Blue Springs FSU,02713,Brandon Jackley,FSU,MO,11-Nov
Bluff Street & Blackridge Drive FSU,04568,Deven Macdonald,FSU,UT,21-Dec
Bluffton FSU,01229,Keith Clark,FSU,SC,2-Sep
Boardman (OH) FSU,05182,Billy James,FSU,OH,23-Sep
Boca Chica FSU,03143,Jose Hernandez,FSU,TX,14-Apr
Boiling Springs FSU,02172,Randy Goff,FSU,SC,7-Jun
Bolingbrook FSU,03042,Mike Wagner,FSU,IL,12-Sep
Bonney Lake FSU,04427,Sebastian Bunster,FSU,WA,21-Mar
Bonsack FSU,03375,Bob Duffessy,FSU,VA,15-Jun
Boone FSU,01674,Terese Fogleman,FSU,NC,4-Sep
Boston Delivery,05800,Matt DeMichele-Rigoni,SAT,MA,25-Sep
Bothell Canyon Park FSU,03814,Matt Isenhower,FSU,WA,17-Nov
Bowie FSU,00691,Monica Snyder,FSU,MD,1-Feb
Bowie Marketplace FSU,03724,Rob Herold,FSU,MD,16-Nov
Boynton Beach Blvd. FSU,01703,Justin Mize,FSU,FL,5-Sep
Bradfordville FSU,02537,Steve Elyea,FSU,FL,10-Nov
Bradley Bourbonnais (IL) FSU,04915,Jon Klavohn,FSU,IL,22-Sep
Bradley Park Drive FSU,05790,Todd Kalish,FSU,GA,25-Jun
Brainerd Village FSU,03105,Nick Goebeler,FSU,TN,13-Feb
Braker Lane FSU,00923,Jeff Glover,FSU,TX,Feb-00
Brandon FSU,02879,Keys Hayes,FSU,MS,12-Jun
Brandon Mall,00482,Courtney McBaen,MALL,FL,Feb-95
Brandon South FSU,03642,Paul Holmberg,FSU,FL,17-Jan
Brandywine FSU,02456,Ryan Patrylo,FSU,MD,10-May
Braselton Hwy 211 FSU,04006,Brandon LaMarque,FSU,GA,18-Jan
Braves Avenue FSU,05663,Matt Rhodes,FSU,GA,25-May
Bremen FSU,04494,Josh Prichard,FSU,GA,21-Oct
Brenham [TX] FSU,05403,Drew Allen,FSU,TX,23-Dec
Brentwood (MO) FSU,03497,Bob Gutherz,FSU,MO,15-Sep
Brentwood FSU,01594,Barry Hooper,FSU,TN,5-Oct
Brevard Rd FSU,05018,Grayson Tanner,FSU,NC,24-May
Brick Township FSU,02744,Ted Reim,FSU,NJ,14-Jun
Bridge Street & Erie Blvd. FSU,05006,Megan Sorber,FSU,NY,25-Aug
Bridgepointe San Mateo In-Line,04919,Reagan Collier,MALL,CA,24-Aug
Bridgeport & 100th FSU,03690,Jason Davies,FSU,WA,18-May
Bridgewater Falls FSU,02492,Daryl Nelson,FSU,OH,11-Feb
Brier Creek Parkway at Lumley Road FSU,01573,David Langston,FSU,NC,6-Feb
Brighton FSU,01911,Barrie Goettsche,FSU,CO,8-Jan
Bristol & MacArthur FSU,01891,Tony Stewart,FSU,CA,5-Nov
Bristol FSU,02858,Dave Pollard,FSU,VA,11-Oct
Bristow FSU,02233,Jeremy Smith,FSU,VA,9-Apr
Broad Creek Crossing FSU,00758,Juan Ortiz,FSU,VA,Oct-98
Broad Ripple FSU,03317,Jeff Mosley,FSU,IN,14-Sep
Broad and 360 FSU,03011,Don Gonzales,FSU,TX,13-Jan
Broadcasting Square FSU,01384,Scott Keiser,FSU,PA,2-May
Broadview (IL) FSU,05222,Alvaro Botero,FSU,IL,24-Nov
Broadway & Dartmouth FSU,03336,Daniel Andrews,FSU,CO,17-Feb
Broadway & Front FSU,03089,Joe Bucklew,FSU,ID,12-Oct
Broadway Crossing FSU,05220,Jeff Johnston,FSU,TX,24-May
Broadway Square Mall,00015,Brendon Reily,MALL,TX,Mar-75
Broadway at Priest FSU,05301,Brandon Barrett,FSU,AZ,24-Dec
Brockport (NY) FSU,05766,Aaron Reynolds,FSU,NY,25-Oct
Broken Arrow FSU,02821,Amanda Almy,FSU,OK,15-Mar
Brookfield FSU,03293,Devon Scanlon,FSU,CT,14-Oct
Brookfield Square FSU,03782,Chris Loweth,FSU,WI,17-Mar
Brookhaven FSU,04287,Todd Kanzinger,FSU,PA,19-Dec
Brookhaven FSU no DT,05035,Jerry Goebeler,FSU,GA,23-Apr
Brooklyn Park (MN) FSU,04102,Brandon Luffman,FSU,MN,20-Feb
Brookstone FSU,02212,Andy Duncan,FSU,GA,8-Mar
Broward Mall,00066,Brooke Olejniczak,MALL,FL,Mar-86
Brownwood [TX] FSU,04630,Bridget Jones,FSU,TX,20-Nov
Brunswick (GA) FSU,01025,Sara Black,FSU,GA,Mar-99
Brunswick (OH) FSU,04155,Dan Justus,FSU,OH,21-Jan
Bryan FSU,00457,Brent Dawson,FSU,TX,Nov-96
Bryant Blvd. & 23rd St FSU,05450,Jordan Hancock,FSU,TX,25-Jan
Buckland Hills (CT) FSU,04561,Alex Ottaway,FSU,CT,21-Dec
Bucktown (IL) FSU,03677,Josh Faretta,FSU,IL,21-Jan
